정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB162000050,솔빛마을주공아파트,37.48035,126.6373333,인천광역시,outside_region,contained:인천광역시
GGB164000348,솔안공원,37.4125,126.6831833,인천광역시,outside_region,contained:인천광역시
GGB166000219,송내고등학교,37.4854167,126.7449833,인천광역시,outside_region,contained:인천광역시
GGB166000761,송내남부역,37.4839333,126.7534667,인천광역시,outside_region,contained:인천광역시
GGB164000669,송담초등학교,37.4114833,126.6150333,인천광역시,outside_region,contained:인천광역시
GGB164000670,송담초등학교,37.4115667,126.6153667,인천광역시,outside_region,contained:인천광역시
GGB164000012,송도1동행정복지센터,37.3917667,126.6502,인천광역시,outside_region,contained:인천광역시
GGB164000709,송도sk뷰,37.4127833,126.6245333,인천광역시,outside_region,contained:인천광역시
GGB164000710,송도sk뷰,37.4128833,126.6241667,인천광역시,outside_region,contained:인천광역시
GGB164000215,송도고입구,37.4306667,126.6468833,인천광역시,outside_region,contained:인천광역시
GGB164000221,송도고입구,37.4309,126.6472167,인천광역시,outside_region,contained:인천광역시
GGB164000472,송도공영차고지,37.3710833,126.63875,인천광역시,outside_region,contained:인천광역시
GGB164000597,송도국제교입구,37.3919667,126.6672333,인천광역시,outside_region,contained:인천광역시
GGB164000666,송도누리공원,37.3775333,126.6565,인천광역시,outside_region,contained:인천광역시
GGB164000665,송도누리공원,37.3774333,126.6568,인천광역시,outside_region,contained:인천광역시
GGB164000698,송도달빛축제공원역,37.4074,126.6258333,인천광역시,outside_region,contained:인천광역시
GGB164000699,송도달빛축제공원역,37.4072333,126.6255667,인천광역시,outside_region,contained:인천광역시
GGB165000843,송도더샵그린스퀘어,37.3730167,126.65255,인천광역시,outside_region,contained:인천광역시
GGB164000695,송도더샵마스터뷰22단지,37.3819667,126.6307667,인천광역시,outside_region,contained:인천광역시
GGB164000697,송도더샵마스터뷰22단지,37.3821167,126.6308667,인천광역시,outside_region,contained:인천광역시
GGB164000696,송도더샵마스터뷰22단지(정문),37.3821667,126.6321667,인천광역시,outside_region,contained:인천광역시
GGB164000441,송도더샵마스터뷰23단지,37.3814167,126.635,인천광역시,outside_region,contained:인천광역시
GGB164000442,송도더샵마스터뷰23단지,37.3813167,126.63415,인천광역시,outside_region,contained:인천광역시
GGB164000694,송도더샵마스터뷰23단지(정문),37.3822333,126.6325333,인천광역시,outside_region,contained:인천광역시
GGB165000842,송도더샵센트럴시티,37.373,126.6521,인천광역시,outside_region,contained:인천광역시
GGB164000013,송도더샵퍼스트월드(동문),37.3918333,126.6495833,인천광역시,outside_region,contained:인천광역시
GGB164000381,송도더샵퍼스트월드(서문),37.3900333,126.6473167,인천광역시,outside_region,contained:인천광역시
GGB164000425,송도더샵퍼스트월드B동.C동,37.3927,126.6472,인천광역시,outside_region,contained:인천광역시
GGB164000009,송도더샵퍼스트월드D동,37.3900667,126.64995,인천광역시,outside_region,contained:인천광역시
GGB164000467,송도더샵하버뷰2차,37.3970667,126.64255,인천광역시,outside_region,contained:인천광역시
GGB164000740,송도랜드마크시티13호근린공원,37.3871333,126.6177167,인천광역시,outside_region,contained:인천광역시
GGB164000741,송도랜드마크시티13호근린공원,37.3870167,126.6173833,인천광역시,outside_region,contained:인천광역시
GGB164000653,송도세브란스병원,37.383,126.6805167,인천광역시,outside_region,contained:인천광역시
GGB164000452,송도센트럴파크,37.3921667,126.6348833,인천광역시,outside_region,contained:인천광역시
GGB165000921,송도에듀포레푸르지오,37.37275,126.6599333,인천광역시,outside_region,contained:인천광역시
GGB164000505,송도역,37.4283833,126.6550333,인천광역시,outside_region,contained:인천광역시
GGB164000644,송도오션파크베르디움,37.4138333,126.6169333,인천광역시,outside_region,contained:인천광역시
GGB164000144,송도요양원,37.4166,126.6727333,인천광역시,outside_region,contained:인천광역시
GGB164000088,송도유원지(도로교통공단),37.4173333,126.6506167,인천광역시,outside_region,contained:인천광역시
