stop_key,ggb_id,seb_id,ggb_name,seb_name,dist_m,ggb_ars,seb_ars,sgg_nm,names_compatible,decision
116000144,GGB116000144,SEB116000144,개봉1동사거리.개봉푸르지오아파트,개봉1동사거리.개봉푸르지오아파트,74.0,17235,17235,구로구,1,merged_far
121900315,GGB121900315,SEB121900315,서초포레스타3단지후문,서초포레스타3단지후문,73.8,22939,22939,서초구,1,merged_far
102000170,GGB102000170,SEB102000170,이촌역,이촌역,72.1,03264,03264,용산구,1,merged_far
122000141,GGB122000141,SEB122000141,삼성역,삼성역,71.8,23244,23244,강남구,1,merged_far
114000194,GGB114000194,SEB114000194,서울과학수사연구소입구,서울과학수사연구소입구,71.4,15298,15298,양천구,1,merged_far
107000094,GGB107000094,SEB107000094,보문동주민센터,보문동주민센터,71.2,08184,08184,성북구,1,merged_far
113000087,GGB113000087,SEB113000087,동도중학교.서울디자인고등학교,동도중학교.서울디자인고등학교,70.2,14178,14178,마포구,1,merged_far
123000682,GGB123000682,SEB123000682,송례중학교.송파꿈에그린,송례중학교.송파꿈에그린,69.3,24399,24399,송파구,1,merged_far
117000053,GGB117000053,SEB117000053,벽산아파트5단지,벽산아파트5단지,69.0,18139,18139,금천구,1,merged_far
106000020,GGB106000020,SEB106000020,중목초등학교,면목2동주민센터.중목초등학교,68.9,07114,07114,중랑구,0,split
116000573,GGB116000573,SEB116000573,남부교도소,남부교도소,68.6,17652,17652,구로구,1,merged_far
107000083,GGB107000083,SEB107000083,길음동동부아파트,길음동동부아파트,68.5,08173,08173,성북구,1,merged_far
121000172,GGB121000172,SEB121000172,한국제약바이오협회,한국제약바이오협회,68.4,22248,22248,서초구,1,merged_far
121000957,GGB121000957,SEB121000957,KT삼거리,KT삼거리,68.4,22601,22601,서초구,1,merged_far
118000155,GGB118000155,SEB118000155,신길동홍어거리,신길동홍어거리,68.3,19240,19240,영등포구,1,merged_far
121000960,GGB121000960,SEB121000960,성촌마을입구,성촌마을입구,68.0,22667,22667,서초구,1,merged_far
106000203,GGB106000203,SEB106000203,중랑경찰서후문,중랑경찰서후문,67.7,07298,07298,중랑구,1,merged_far
124000258,GGB124000258,SEB124000258,성덕중고등학교,성덕중고등학교,66.9,25643,25643,강동구,1,merged_far
105000188,GGB105000188,SEB105000188,한국과학기술원.홍릉초등학교,한국과학기술원.홍릉초등학교,66.8,06274,06274,동대문구,1,merged_far
121900186,GGB121900186,SEB121900186,더케이호텔후문,더케이호텔후문,66.3,22876,22876,서초구,1,merged_far
123000512,GGB123000512,SEB123000512,장지역,장지역,65.9,24801,24801,송파구,1,merged_far
121000211,GGB121000211,SEB121000211,식유촌우면성당.서초호반써밋,식유촌우면성당.서초호반써밋,65.4,22287,22287,서초구,1,merged_far
114000221,GGB114000221,SEB114000221,신월시영아파트.강월초등학교,강월초등학교.신월시영아파트,65.2,15325,15325,양천구,0,split
121000939,GGB121000939,SEB121000939,반포한강공원.세빛섬,반포한강공원.세빛섬,64.8,22404,22404,서초구,1,merged_far
110000645,GGB110000645,SEB110000645,상계3.4동주민센터,상계3.4동주민센터,64.3,11995,11995,노원구,1,merged_far
110000133,GGB110000133,SEB110000133,상계역,상계역사거리,64.2,11233,11233,노원구,1,merged_far
115000211,GGB115000211,SEB115000211,공항중학교.마곡엠밸리9단지,공항중학교.마곡엠밸리9단지,64.0,16308,16308,강서구,1,merged_far
123000147,GGB123000147,SEB123000147,효죽동입구,효죽동입구,63.9,24237,24237,하남시,1,merged_far
119000027,GGB119000027,SEB119000027,사육신공원,사육신공원,63.5,20119,20119,동작구,1,merged_far
121900280,GGB121900280,SEB121900280,교총회관,교총회관,63.3,22949,22949,서초구,1,merged_far
106000196,GGB106000196,SEB106000196,구립도서관체육관,중랑구립정보도서관.구민체육센터,63.3,07291,07291,중랑구,0,split
124000085,GGB124000085,SEB124000085,일자산입구.둔촌도서관,일자산입구.둔촌도서관,63.3,25185,25185,강동구,1,merged_far
210000612,GGB210000612,SEB210000612,원미경찰서,원미경찰서,62.5,11288,11288,부천시,1,merged_far
121001339,GGB121001339,SEB121001339,샘마을.서울특별시어린이병원(중),샘마을.서울특별시어린이병원,62.1,22041,22041,서초구,1,merged_far
117900166,GGB117900166,SEB117900166,시흥사거리,시흥사거리,62.0,18992,18992,금천구,1,merged_far
118000156,GGB118000156,SEB118000156,신풍역.백악관웨딩문화원앞,신풍역4번출구.베뉴비안,61.5,19241,19241,영등포구,0,split
111000935,GGB111000935,SEB111000935,한전서대문은평.북한산푸르지오(중),한전서대문은평.북한산푸르지오,60.9,12026,12026,은평구,1,merged_far
218000232,GGB218000232,SEB218000232,옥빛마을16단지,옥빛마을16단지,60.7,19071,35398,고양시,1,merged_far
121001333,GGB121001333,SEB121001333,염곡마을.서초50플러스센터(중),염곡마을.서초50플러스센터,60.7,22035,22035,서초구,1,merged_far
104000056,GGB104000056,SEB104000056,광진구청.구의역2번출구,광진구청.구의역2번출구,60.6,05149,05149,광진구,1,merged_far
124000356,GGB124000356,SEB124000356,상일초등학교,상일초등학교,59.8,25709,25709,강동구,1,merged_far
121000205,GGB121000205,SEB121000205,서울AI허브.한국교원단체총연합회,서울AI허브.한국교원단체총연합회,59.6,22281,22281,서초구,1,merged_far
111000041,GGB111000041,SEB111000041,신진과학기술고교.이마트은평점,신진과학기술고교.이마트은평점,59.6,12129,12129,은평구,1,merged_far
220000029,GGB220000029,SEB220000029,과천지식정보타운,과천지식정보타운,59.6,21001,37014,과천시,1,merged_far
103000150,GGB103000150,SEB103000150,도선고등학교.꽃재교회,도선고등학교.꽃재교회,59.5,04252,04252,성동구,1,merged_far
117900107,GGB117900107,SEB117900107,호남슈퍼,시흥동향나무.삼층석탑,59.1,18518,18518,금천구,0,split
