stop_key,name,name_norm,name_key,aliases,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,snap_dist_m,source_ids,rep_source,ars_nos,merge_status,twin_dist_m,is_virtual,raw_city_label
233003051,향남시외터미널,향남시외터미널,향남시외터미널,,37.1330167,126.9220667,41,경기도,41590,화성시,contain,,GGB233003051,GGB,55328,single,,0,경기도 화성시
233003052,향남시외터미널,향남시외터미널,향남시외터미널,,37.1329500,126.9220667,41,경기도,41590,화성시,contain,,GGB233003052,GGB,55329,single,,0,경기도 화성시
233003053,능동지성로사거리,능동지성로사거리,능동지성로사거리,,37.2125333,127.0548000,41,경기도,41590,화성시,contain,,GGB233003053,GGB,37219,single,,0,경기도 화성시
233003054,제부도교차로,제부도교차로,제부도교차로,,37.1729167,126.6580167,41,경기도,41590,화성시,contain,,GGB233003054,GGB,60067,single,,0,경기도 화성시
233003055,제부소방서.보건소,제부소방서.보건소,제부소방서보건소,,37.1633500,126.6222500,41,경기도,41590,화성시,contain,,GGB233003055,GGB,,single,,0,경기도 화성시
233003056,제부도교차로,제부도교차로,제부도교차로,,37.1728000,126.6578833,41,경기도,41590,화성시,contain,,GGB233003056,GGB,60068,single,,0,경기도 화성시
233003057,능동양우내안에아파트,능동양우내안에아파트,능동양우내안에아파트,,37.2015500,127.0518667,41,경기도,41590,화성시,contain,,GGB233003057,GGB,55943,single,,0,경기도 화성시
233003058,능동양우내안에아파트,능동양우내안에아파트,능동양우내안에아파트,,37.2013500,127.0519167,41,경기도,41590,화성시,contain,,GGB233003058,GGB,55944,single,,0,경기도 화성시
233003062,ASML(A동),ASML(A동),asml,,37.1746500,127.0971667,41,경기도,41590,화성시,contain,,GGB233003062,GGB,55946,single,,0,
233003063,ASML(B동),ASML(B동),asml,,37.1752667,127.0997667,41,경기도,41590,화성시,contain,,GGB233003063,GGB,55945,single,,0,
233003064,동탄레이크원,동탄레이크원,동탄레이크원,,37.1738333,127.0991833,41,경기도,41590,화성시,contain,,GGB233003064,GGB,55947,single,,0,
233003070,시2리,시2리,시2리,,37.2422333,126.8022000,41,경기도,41590,화성시,contain,,GGB233003070,GGB,36546,single,,0,경기도 화성시
233003071,가시리마을,가시리마을,가시리마을,,37.2406500,126.8025833,41,경기도,41590,화성시,contain,,GGB233003071,GGB,36548,single,,0,경기도 화성시
233003073,들고개,들고개,들고개,,37.2322000,126.8042167,41,경기도,41590,화성시,contain,,GGB233003073,GGB,36552,single,,0,경기도 화성시
233003074,문호1리,문호1리,문호1리,,37.2629833,126.8034000,41,경기도,41590,화성시,contain,,GGB233003074,GGB,36538,single,,0,경기도 화성시
233003077,송림동입구,송림동입구,송림동입구,,37.2167333,126.8197167,41,경기도,41590,화성시,contain,,GGB233003077,GGB,,single,,0,경기도 화성시
233003078,수화1리,수화1리,수화1리,,37.2535000,126.8164833,41,경기도,41590,화성시,contain,,GGB233003078,GGB,36520,single,,0,경기도 화성시
