station_id,our_name,live_name,live_subway_id,live_statn_id,verified,note
seoul6-0610,응암,응암순환(상선),1006,1006000610,yes,6호선 응암순환 — 원천이 방향을 이름에 넣었다
seoul7-0728,자양(뚝섬한강공원),뚝섬유원지,1007,1007000728,yes,실시간이 옛 이름을 쓴다
gyeongbu-1723,평택지제역,지제,1001,1001080164,yes,실시간이 개명 전 이름을 쓴다
suin-1760,능길역,신길온천,1075,1075075256,yes,실시간이 옛 이름을 쓴다
ansangwacheon-1760,능길역,신길온천,1004,1004000454,yes,같은 역의 4호선 행
gyeonggang-1510,세종대왕릉역,세종왕릉,1081,1081037419,yes,실시간이 축약 표기를 쓴다
jinjeop-0405,진접역,,,,yes,진접선 — 역별 실시간 미제공(열차 목적지로만 등장)
jinjeop-0406,오남역,,,,yes,진접선 — 역별 실시간 미제공
jinjeop-0408,별내별가람역,,,,yes,진접선 — 역별 실시간 미제공
