source_id,name,lon,lat,method,checks
SEB113900266,사천고가앞,126.917561,37.567173,전국 원본 좌표,"서울 정류소 파일 좌표 37.613647, 127.074999 는 14.80 km 떨어짐 / 서울 노선별 정류소 파일 좌표와 0 m / ARS 14716"
SEB122000716,글래드라이브강남호텔,127.036999,37.508085,전국 원본 좌표,"서울 정류소 파일 좌표 37.48373, 127.068697 는 3.89 km 떨어짐 / 서울 노선별 정류소 파일 좌표와 0 m / ARS 23390"
SEB120900051,삼성산주공정문,126.926287,37.4610628,전국 원본 좌표,"서울 정류소 파일 좌표 37.480443, 126.914873 는 2.38 km 떨어짐 / 서울 노선별 정류소 파일 좌표와 0 m / ARS 21539"
SEB113900038,S마트,126.947562,37.538799,전국 원본 좌표,"서울 정류소 파일 좌표 37.547055, 126.943554 는 0.98 km 떨어짐 / 서울 노선별 정류소 파일 좌표와 0 m / ARS 14541"
